#%%field-000=date-time,string8
#%%field-001=facility,string8
#%%field-002=level,int8
#%%field-003=mem usage (MB),string8
#%%field-004=message,string8
#
date-time	facility	level	mem usage (MB)	message
07/07/2021 11:39:52	GUI,INFO,LOG	1	2	logging to file 'otv-caller-1625621992.log'
07/07/2021 11:39:52	INFO	1	2	Application: otv-caller
07/07/2021 11:39:52	INFO	1	2	Version: 2.10.0 stash.amer.thermo.com/ma-alg/apt2-snppolisher.git/release/APT_2.10.0@ac9eb0194c(116443c2b2) 2018-05-10-15:07
07/07/2021 11:39:52	INFO	1	2	CPP version: c++11 (201103L) 
07/07/2021 11:39:52	INFO	1	2	Log file selector: "*:9"
07/07/2021 11:39:52	INFO	1	2	Console selector: "OR(info,warning,error,help,INFO,WARNING,ERROR,HELP)"
07/07/2021 11:39:52	runtime,PROGRESS	1	2	0.000000,0.000000,0.000000,starting
07/07/2021 11:39:52	DEBUG	1	2	creating... otv-caller-node OtvCallerNodeEngine
07/07/2021 11:39:52	DEBUG,LOG	1	2	original command line: otv-caller --pid-file /share/ScratchGeneral/nenbar/projects/CITE/genotyping/neomet_02/NeoMet_Pool_015/step1/SNPolisher/Recommended.ps --batch-folder /share/ScratchGeneral/nenbar/projects/CITE/genotyping/neomet_02/NeoMet_Pool_015/step1 --output-dir /share/ScratchGeneral/nenbar/projects/CITE/genotyping/neomet_02/NeoMet_Pool_015/step1/OTV
07/07/2021 11:39:52	DEBUG	7	2	NodeParam::doCheck(): 'MainNode:@dump-nodes'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-nodes-long'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-nodes-classes'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-data-flow'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-param'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-param-long'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-param-dev'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-param-long-dev'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-all'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dump-all-long'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@log-machine-name'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:enable'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:disable'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@serialize'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@serialize-pre'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@serialize-post'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@stop'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@stop-after'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:version'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:user-help'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@dev-help'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@doxygen-help'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:log-file'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@log-select'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@console-select'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:@socket-select'
07/07/2021 11:39:52	DEBUG	7	3	NodeParam::doCheck(): 'MainNode:console-add-select'
